Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (dogn),Kraftigste middelvind (dogn),Nedbor (dogn),Overskya vaer (dogn)
Trondheim - Voll,SN68860,19.04.2018,9.4,3.7,1.8,1
Trondheim - Voll,SN68860,20.04.2018,8.1,3.6,1.8,1
Trondheim - Voll,SN68860,21.04.2018,5.3,9.9,11.6,1
Trondheim - Voll,SN68860,22.04.2018,8,4.3,4.7,0
Trondheim - Voll,SN68860,23.04.2018,8.3,6.3,1,1
Trondheim - Voll,SN68860,24.04.2018,6.7,6.1,2.2,1
Trondheim - Voll,SN68860,25.04.2018,4.6,7.5,0.6,0
Trondheim - Voll,SN68860,26.04.2018,5.4,3.9,1.2,1
Trondheim - Voll,SN68860,27.04.2018,6.5,3.2,3.5,0
Trondheim - Voll,SN68860,28.04.2018,5.8,3.8,0.8,0
Trondheim - Voll,SN68860,29.04.2018,4.9,4,0.9,0
Trondheim - Voll,SN68860,30.04.2018,5,6.5,1.3,0
Trondheim - Voll,SN68860,01.05.2018,5.9,6.3,0.8,0
Trondheim - Voll,SN68860,02.05.2018,9.9,4.8,0.4,0
Trondheim - Voll,SN68860,03.05.2018,7.6,6.9,0.5,0
Trondheim - Voll,SN68860,04.05.2018,8.1,3.6,3.6,0
Trondheim - Voll,SN68860,05.05.2018,12.3,4,1.2,0
Trondheim - Voll,SN68860,06.05.2018,9.1,5.5,1.3,1
Trondheim - Voll,SN68860,07.05.2018,8.1,8.3,2.3,0
Trondheim - Voll,SN68860,08.05.2018,14.9,4.6,0.9,0
Trondheim - Voll,SN68860,09.05.2018,19.7,7.7,0.4,0
Trondheim - Voll,SN68860,10.05.2018,18.8,8.6,0.7,0
Trondheim - Voll,SN68860,11.05.2018,8.3,4.7,4.7,1
Trondheim - Voll,SN68860,12.05.2018,12.8,3.1,9.6,0
Trondheim - Voll,SN68860,13.05.2018,15.6,3.4,0.2,0
Trondheim - Voll,SN68860,14.05.2018,18,4.7,0.7,0
Trondheim - Voll,SN68860,15.05.2018,16.7,4.3,0.2,0
Trondheim - Voll,SN68860,16.05.2018,9.6,6.2,0.2,0
Trondheim - Voll,SN68860,17.05.2018,8,4.4,0.3,0
Trondheim - Voll,SN68860,18.05.2018,9.6,3.9,0,0
Trondheim - Voll,SN68860,19.05.2018,11.9,3.6,0.3,0
Trondheim - Voll,SN68860,20.05.2018,15.6,3.9,0.1,1
Trondheim - Voll,SN68860,21.05.2018,15.8,3.9,0.6,0
Trondheim - Voll,SN68860,22.05.2018,10.8,5.1,0,0
Trondheim - Voll,SN68860,23.05.2018,10.9,4.4,0.1,0
Trondheim - Voll,SN68860,24.05.2018,12.8,4.6,0.2,0
Trondheim - Voll,SN68860,25.05.2018,12.7,4.9,0.2,0
Trondheim - Voll,SN68860,26.05.2018,11.3,3.9,0.1,0
Trondheim - Voll,SN68860,27.05.2018,16,4.4,0.1,0
Trondheim - Voll,SN68860,28.05.2018,18.2,3.5,0.1,1
Trondheim - Voll,SN68860,29.05.2018,15,4.8,0,0
Trondheim - Voll,SN68860,30.05.2018,16.1,4.4,0.5,0
Trondheim - Voll,SN68860,31.05.2018,19.9,4.4,0.1,0
Trondheim - Voll,SN68860,01.06.2018,16.6,4.3,1.6,0
Trondheim - Voll,SN68860,02.06.2018,14.7,4.1,0,0
Trondheim - Voll,SN68860,03.06.2018,11.4,5.5,0,1
Trondheim - Voll,SN68860,04.06.2018,7.3,6.1,0.2,0
Trondheim - Voll,SN68860,05.06.2018,5.9,5.8,0.6,0
Trondheim - Voll,SN68860,06.06.2018,8.6,4,0.9,0
Trondheim - Voll,SN68860,07.06.2018,8.9,5.5,0,1
Trondheim - Voll,SN68860,08.06.2018,9.1,3.8,3.6,1
Trondheim - Voll,SN68860,09.06.2018,13.4,3.3,0,0
Trondheim - Voll,SN68860,10.06.2018,11,4,0,0
Trondheim - Voll,SN68860,11.06.2018,9,3.9,0,1
Trondheim - Voll,SN68860,12.06.2018,8.7,4.5,0.5,1
Trondheim - Voll,SN68860,13.06.2018,10.8,3.6,0.6,0
Trondheim - Voll,SN68860,14.06.2018,15.6,7.9,0,1
Trondheim - Voll,SN68860,15.06.2018,13.6,8.3,1.3,1
Trondheim - Voll,SN68860,16.06.2018,12.5,3.7,0.4,0
Trondheim - Voll,SN68860,17.06.2018,14,6,0,0
Trondheim - Voll,SN68860,18.06.2018,13.5,5.6,0.1,0
Trondheim - Voll,SN68860,19.06.2018,10.4,10.2,13.9,1
Trondheim - Voll,SN68860,20.06.2018,10.1,9.3,0.3,1
Trondheim - Voll,SN68860,21.06.2018,9.1,5.3,0.4,1
Trondheim - Voll,SN68860,22.06.2018,7.1,6.7,2.5,1
Trondheim - Voll,SN68860,23.06.2018,9.4,6.6,2.1,1
Trondheim - Voll,SN68860,24.06.2018,11.5,4.8,5.1,1
Trondheim - Voll,SN68860,25.06.2018,11.8,4.5,3.9,1
Trondheim - Voll,SN68860,26.06.2018,12.3,5.3,0.7,1
Trondheim - Voll,SN68860,27.06.2018,14,4,0,0
Trondheim - Voll,SN68860,28.06.2018,10.9,7.8,0,0
Trondheim - Voll,SN68860,29.06.2018,8.8,5.5,3.2,1
Trondheim - Voll,SN68860,30.06.2018,11.2,4.7,0.5,-
Trondheim - Voll,SN68860,01.07.2018,17.5,3.8,0.5,-
Trondheim - Voll,SN68860,02.07.2018,15.8,4.9,0,-
Trondheim - Voll,SN68860,03.07.2018,12.9,3.9,0.2,-
Trondheim - Voll,SN68860,04.07.2018,13.2,4.1,0.1,-
Trondheim - Voll,SN68860,05.07.2018,14.4,5.9,0.2,-
Trondheim - Voll,SN68860,06.07.2018,12,6.9,0.2,-
Trondheim - Voll,SN68860,07.07.2018,12.3,3.2,0.3,-
Trondheim - Voll,SN68860,08.07.2018,13,3.5,0.6,-
Trondheim - Voll,SN68860,09.07.2018,12.4,4.3,8.6,-
Trondheim - Voll,SN68860,10.07.2018,17.1,3.4,0.3,-
Trondheim - Voll,SN68860,11.07.2018,19.5,5.3,0.2,-
Trondheim - Voll,SN68860,12.07.2018,16.9,3.6,0.2,-
Trondheim - Voll,SN68860,13.07.2018,14.5,4.2,0,-
Trondheim - Voll,SN68860,14.07.2018,14.1,3.5,0.5,-
Trondheim - Voll,SN68860,15.07.2018,18,3.1,0.3,-
Trondheim - Voll,SN68860,16.07.2018,20.7,5.2,0,-
Trondheim - Voll,SN68860,17.07.2018,20.8,5.2,0.2,-
Trondheim - Voll,SN68860,18.07.2018,19.5,6,2.2,-
Trondheim - Voll,SN68860,19.07.2018,15.4,3.3,3.8,-
Trondheim - Voll,SN68860,20.07.2018,17.5,3.5,0.1,-
Trondheim - Voll,SN68860,21.07.2018,16.8,3.7,3.4,-
Trondheim - Voll,SN68860,22.07.2018,16.4,4.5,1.3,-
Trondheim - Voll,SN68860,23.07.2018,15.7,3.3,2.7,-
Trondheim - Voll,SN68860,24.07.2018,17.7,4.4,1.3,-
Trondheim - Voll,SN68860,25.07.2018,14.9,3.6,1.9,-
Trondheim - Voll,SN68860,26.07.2018,17.3,5.1,2.3,-
Trondheim - Voll,SN68860,27.07.2018,24.9,4.1,1.1,-
Trondheim - Voll,SN68860,28.07.2018,25.7,4.7,0.9,-
Trondheim - Voll,SN68860,29.07.2018,21.5,6.3,1.3,-
Trondheim - Voll,SN68860,30.07.2018,23,8,1.3,-
Trondheim - Voll,SN68860,31.07.2018,24.6,6.4,0.8,-
Trondheim - Voll,SN68860,01.08.2018,18.6,4.5,1.6,-
Trondheim - Voll,SN68860,02.08.2018,15.4,4,0.6,-
Trondheim - Voll,SN68860,03.08.2018,15.7,2.4,2.5,-
Trondheim - Voll,SN68860,04.08.2018,15.4,4,5,-
Trondheim - Voll,SN68860,05.08.2018,12.2,7.9,17.3,-
Trondheim - Voll,SN68860,06.08.2018,12.4,4.7,14.4,-
Trondheim - Voll,SN68860,07.08.2018,15.1,5,1.7,-
Trondheim - Voll,SN68860,08.08.2018,19.5,5.8,1.1,-
Trondheim - Voll,SN68860,09.08.2018,15.1,4.6,7.8,-
Trondheim - Voll,SN68860,10.08.2018,13.1,5.6,3.7,-
Trondheim - Voll,SN68860,11.08.2018,12.7,8.8,49.3,-
Trondheim - Voll,SN68860,12.08.2018,11.4,4.9,1.5,-
Trondheim - Voll,SN68860,13.08.2018,11.5,4,1,-
Trondheim - Voll,SN68860,14.08.2018,12.5,3.3,1,-
Trondheim - Voll,SN68860,15.08.2018,14,3.7,1,-
Trondheim - Voll,SN68860,16.08.2018,16.1,5.8,2.3,-
Trondheim - Voll,SN68860,17.08.2018,14.4,3.7,5.8,-
Trondheim - Voll,SN68860,18.08.2018,12.3,6.4,6.5,-
Trondheim - Voll,SN68860,19.08.2018,11,6.6,5.1,-
Trondheim - Voll,SN68860,20.08.2018,10.1,5.3,5.4,-
Trondheim - Voll,SN68860,21.08.2018,10.5,4,4.7,-
Trondheim - Voll,SN68860,22.08.2018,12.2,5.9,5,-
Trondheim - Voll,SN68860,23.08.2018,13,4.2,5.2,-
Trondheim - Voll,SN68860,24.08.2018,12.4,4.2,0.4,-
Trondheim - Voll,SN68860,25.08.2018,10.8,4,1.7,-
Trondheim - Voll,SN68860,26.08.2018,9.6,3.5,1.6,-
Trondheim - Voll,SN68860,27.08.2018,9.5,4.3,2.2,-
Trondheim - Voll,SN68860,28.08.2018,13,2.8,2.1,-
Trondheim - Voll,SN68860,29.08.2018,15.5,5.6,0.1,-
Trondheim - Voll,SN68860,30.08.2018,11.6,5.5,9.1,-
Trondheim - Voll,SN68860,31.08.2018,11,4.7,0,-
Trondheim - Voll,SN68860,01.09.2018,12.7,2,0.2,-
Trondheim - Voll,SN68860,02.09.2018,16,2.6,0.2,-
Trondheim - Voll,SN68860,03.09.2018,15.3,4.6,0.4,-
Trondheim - Voll,SN68860,04.09.2018,10.5,2.6,3.8,-
Trondheim - Voll,SN68860,05.09.2018,12.7,2.8,3.1,-
Trondheim - Voll,SN68860,06.09.2018,15.7,3,0,-
Trondheim - Voll,SN68860,07.09.2018,16.5,3.8,0.1,-
Trondheim - Voll,SN68860,08.09.2018,16.4,4,0,-
Trondheim - Voll,SN68860,09.09.2018,14.9,6.6,0.1,-
Trondheim - Voll,SN68860,10.09.2018,14.6,8,0.5,-
Trondheim - Voll,SN68860,11.09.2018,12.1,5.8,0.7,-
Trondheim - Voll,SN68860,12.09.2018,10.2,7.6,0.3,-
Trondheim - Voll,SN68860,13.09.2018,10.8,7,9.4,-
Trondheim - Voll,SN68860,14.09.2018,10.1,3.7,0.1,-
Trondheim - Voll,SN68860,15.09.2018,8.4,6.5,0.8,-
Trondheim - Voll,SN68860,16.09.2018,10.1,5.4,5,-
Trondheim - Voll,SN68860,17.09.2018,10.3,5.7,6.2,-
Trondheim - Voll,SN68860,18.09.2018,10.9,3,1.3,-
Trondheim - Voll,SN68860,19.09.2018,16.2,4.7,2,-
Trondheim - Voll,SN68860,20.09.2018,12.8,8.3,0.4,-
Trondheim - Voll,SN68860,21.09.2018,9.3,5.6,0.2,-
Trondheim - Voll,SN68860,22.09.2018,8.4,9.5,8.5,-
Trondheim - Voll,SN68860,23.09.2018,5.7,7.6,18.4,-
Trondheim - Voll,SN68860,24.09.2018,4.5,7.8,15.9,-
Trondheim - Voll,SN68860,25.09.2018,8.2,6.4,5.4,-
Trondheim - Voll,SN68860,26.09.2018,7.7,10.8,10.1,-
Trondheim - Voll,SN68860,27.09.2018,5.8,7.7,7.8,-
Trondheim - Voll,SN68860,28.09.2018,3.7,6.6,10.8,-
Trondheim - Voll,SN68860,29.09.2018,6.9,8.4,9.1,-
Trondheim - Voll,SN68860,30.09.2018,5.8,7.5,6.9,-
Trondheim - Voll,SN68860,01.10.2018,5.1,4.5,17.9,-
Trondheim - Voll,SN68860,02.10.2018,3.7,3.2,0.6,-
Trondheim - Voll,SN68860,03.10.2018,4.9,5.1,0.9,-
Trondheim - Voll,SN68860,04.10.2018,5.6,4.6,2.7,-
Trondheim - Voll,SN68860,05.10.2018,7.5,8.1,5,-
Trondheim - Voll,SN68860,06.10.2018,4.8,9.2,4.1,-
Trondheim - Voll,SN68860,07.10.2018,4.6,3.6,5.1,-
Trondheim - Voll,SN68860,08.10.2018,7.3,6.2,2.3,-
Trondheim - Voll,SN68860,09.10.2018,7.1,4.9,3.1,-
Trondheim - Voll,SN68860,10.10.2018,8.8,3.4,1.9,-
Trondheim - Voll,SN68860,11.10.2018,10.9,6.2,0.3,-
Trondheim - Voll,SN68860,12.10.2018,14.8,8.3,0.7,-
Trondheim - Voll,SN68860,13.10.2018,14.6,10.9,4.4,-
Trondheim - Voll,SN68860,14.10.2018,14.9,9.3,2.7,-
Trondheim - Voll,SN68860,15.10.2018,5.7,4.2,18.3,-
Trondheim - Voll,SN68860,16.10.2018,7.2,4.2,0,-
Trondheim - Voll,SN68860,17.10.2018,9.9,4.4,0.6,-
Trondheim - Voll,SN68860,18.10.2018,6.5,7.5,4.3,-
Trondheim - Voll,SN68860,19.10.2018,7.4,4,2.4,-
Trondheim - Voll,SN68860,20.10.2018,8.3,4.9,0.3,-
Trondheim - Voll,SN68860,21.10.2018,7.9,7.8,6.5,-
Trondheim - Voll,SN68860,22.10.2018,3.7,8,9,-
Trondheim - Voll,SN68860,23.10.2018,2.8,6.8,8.3,-
Trondheim - Voll,SN68860,24.10.2018,3.2,6.7,13.1,-
Trondheim - Voll,SN68860,25.10.2018,2.3,3.6,6.8,-
Trondheim - Voll,SN68860,26.10.2018,1.4,3.4,14.6,-
Trondheim - Voll,SN68860,27.10.2018,-1.6,3.6,2.5,-
Trondheim - Voll,SN68860,28.10.2018,-3.2,3.2,0.9,-
Trondheim - Voll,SN68860,29.10.2018,-2.2,5.9,0.2,-
Trondheim - Voll,SN68860,30.10.2018,1.2,4.7,0.2,-
Trondheim - Voll,SN68860,31.10.2018,5.8,6.2,0.4,-
Trondheim - Voll,SN68860,01.11.2018,5.6,6.8,6.2,-
Trondheim - Voll,SN68860,02.11.2018,6,6.5,0.2,-
Trondheim - Voll,SN68860,03.11.2018,3.7,5.5,7.1,-
Trondheim - Voll,SN68860,04.11.2018,10,8.5,2.4,-
Trondheim - Voll,SN68860,05.11.2018,8.4,7.5,0,-
Trondheim - Voll,SN68860,06.11.2018,2.4,2.7,0.2,-
Trondheim - Voll,SN68860,07.11.2018,2.1,2.4,0.1,-
Trondheim - Voll,SN68860,08.11.2018,5.3,3.3,0.2,-
Trondheim - Voll,SN68860,09.11.2018,2.5,2,0.3,-
Trondheim - Voll,SN68860,10.11.2018,6.9,4.7,0.3,-
Trondheim - Voll,SN68860,11.11.2018,9.9,6.4,1.1,-
Trondheim - Voll,SN68860,12.11.2018,7.8,7.2,1.6,-
Trondheim - Voll,SN68860,13.11.2018,3.7,3,1.2,-
Trondheim - Voll,SN68860,14.11.2018,2.7,2.3,0,-
Trondheim - Voll,SN68860,15.11.2018,6.2,2.3,0,-
Trondheim - Voll,SN68860,16.11.2018,9.7,5.6,0.1,-
Trondheim - Voll,SN68860,17.11.2018,7.2,3.7,7.8,-
Trondheim - Voll,SN68860,18.11.2018,1.9,2.5,0,-
Trondheim - Voll,SN68860,19.11.2018,-1.9,2.1,0,-
Trondheim - Voll,SN68860,20.11.2018,-0.3,2.8,0,-
Trondheim - Voll,SN68860,21.11.2018,-0.3,3.4,0.2,-
Trondheim - Voll,SN68860,22.11.2018,-3.2,3.1,0,-
Trondheim - Voll,SN68860,23.11.2018,-1,4.4,0,-
Trondheim - Voll,SN68860,24.11.2018,1.5,3.6,0.9,-
Trondheim - Voll,SN68860,25.11.2018,1.6,3.7,0,-
Trondheim - Voll,SN68860,26.11.2018,1.1,4,0.3,-
Trondheim - Voll,SN68860,27.11.2018,-3.1,3,1.5,-
Trondheim - Voll,SN68860,28.11.2018,-4.1,4.1,0,-
Trondheim - Voll,SN68860,29.11.2018,4.9,12.1,0.2,-
Trondheim - Voll,SN68860,30.11.2018,8.1,11.2,0.1,-
Trondheim - Voll,SN68860,01.12.2018,7.3,9.1,0,-
Trondheim - Voll,SN68860,02.12.2018,5.4,7.5,0,-
Trondheim - Voll,SN68860,03.12.2018,2.2,6.2,0,-
Trondheim - Voll,SN68860,04.12.2018,0.8,6.5,7,-
Trondheim - Voll,SN68860,05.12.2018,-0.4,6.9,7,-
Trondheim - Voll,SN68860,06.12.2018,-3.2,4.9,2.1,-
Trondheim - Voll,SN68860,07.12.2018,-2.3,2.9,0,-
Trondheim - Voll,SN68860,08.12.2018,0,4.4,0.2,-
Trondheim - Voll,SN68860,09.12.2018,0.5,-,16.8,-
Trondheim - Voll,SN68860,10.12.2018,2.4,3.8,7.9,-
Trondheim - Voll,SN68860,11.12.2018,0.8,3.3,1.2,-
Trondheim - Voll,SN68860,12.12.2018,-6.2,2.8,0,-
Trondheim - Voll,SN68860,13.12.2018,-9,2.8,0,-
Trondheim - Voll,SN68860,14.12.2018,-11.7,2.4,0,-
Trondheim - Voll,SN68860,15.12.2018,-9,3.1,0,-
Trondheim - Voll,SN68860,16.12.2018,0.5,7.2,0,-
Trondheim - Voll,SN68860,17.12.2018,-2.5,6.9,0,-
Trondheim - Voll,SN68860,18.12.2018,-4.8,3,0,-
Trondheim - Voll,SN68860,19.12.2018,1,5.7,0,-
Trondheim - Voll,SN68860,20.12.2018,3.1,8.4,0,-
Trondheim - Voll,SN68860,21.12.2018,-0.6,5.4,0,-
Trondheim - Voll,SN68860,22.12.2018,-2.3,5.4,0,-
Trondheim - Voll,SN68860,23.12.2018,-4,3.3,0,-
Trondheim - Voll,SN68860,24.12.2018,1.3,6.9,0.1,-
Trondheim - Voll,SN68860,25.12.2018,4.7,10.2,20,-
Trondheim - Voll,SN68860,26.12.2018,4.6,7.4,10.2,-
Trondheim - Voll,SN68860,27.12.2018,4.3,5.7,5.5,-
Trondheim - Voll,SN68860,28.12.2018,3.9,4.3,2.5,-
Trondheim - Voll,SN68860,29.12.2018,2.7,7.4,3.1,-
Trondheim - Voll,SN68860,30.12.2018,1.1,4.5,12.4,-
Trondheim - Voll,SN68860,31.12.2018,4.2,9.3,6,-
Trondheim - Voll,SN68860,01.01.2019,2.2,9.4,9.4,-
Trondheim - Voll,SN68860,02.01.2019,0.8,7.2,8,-
Trondheim - Voll,SN68860,03.01.2019,4.5,8,8.9,-
Trondheim - Voll,SN68860,04.01.2019,6.4,8.2,18.9,-
Trondheim - Voll,SN68860,05.01.2019,5.3,5.3,10.7,-
Trondheim - Voll,SN68860,06.01.2019,5,5.8,3.4,-
Trondheim - Voll,SN68860,07.01.2019,1.8,4.6,1.5,-
Trondheim - Voll,SN68860,08.01.2019,1,5.4,0.6,-
Trondheim - Voll,SN68860,09.01.2019,-0.1,3.9,1.1,-
Trondheim - Voll,SN68860,10.01.2019,4.5,9.5,4.2,-
Trondheim - Voll,SN68860,11.01.2019,1.4,12.5,6.6,-
Trondheim - Voll,SN68860,12.01.2019,0.2,6,9.1,-
Trondheim - Voll,SN68860,13.01.2019,-1,7.5,2.7,-
Trondheim - Voll,SN68860,14.01.2019,-0.7,11.8,11.7,-
Trondheim - Voll,SN68860,15.01.2019,-5.1,5.7,7.9,-
Trondheim - Voll,SN68860,16.01.2019,-7.4,3.7,0,-
Trondheim - Voll,SN68860,17.01.2019,-4.1,5.8,5,-
Trondheim - Voll,SN68860,18.01.2019,-2.3,5.5,10.5,-
Trondheim - Voll,SN68860,19.01.2019,-2.6,7.7,9.7,-
Trondheim - Voll,SN68860,20.01.2019,-5.3,4,8.4,-
Trondheim - Voll,SN68860,21.01.2019,-7.5,3.6,0.1,-
Trondheim - Voll,SN68860,22.01.2019,-8.7,3.3,0.7,-
Trondheim - Voll,SN68860,23.01.2019,-9.9,3.9,0,-
Trondheim - Voll,SN68860,24.01.2019,-8.3,3.5,0,-
Trondheim - Voll,SN68860,25.01.2019,-6,3.5,0,-
Trondheim - Voll,SN68860,26.01.2019,-4.5,6.8,0,-
Trondheim - Voll,SN68860,27.01.2019,-5.8,6.2,0,-
Trondheim - Voll,SN68860,28.01.2019,-5.4,6,0,-
Trondheim - Voll,SN68860,29.01.2019,-8,2.3,0.1,-
Trondheim - Voll,SN68860,30.01.2019,-4.7,3.5,0,-
Trondheim - Voll,SN68860,31.01.2019,-1,6.7,0,-
Trondheim - Voll,SN68860,01.02.2019,-2.5,7.7,0,-
Trondheim - Voll,SN68860,02.02.2019,-5.3,5.5,0,-
Trondheim - Voll,SN68860,03.02.2019,-7.6,3.2,0,-
Trondheim - Voll,SN68860,04.02.2019,-8,3.3,0.7,-
Trondheim - Voll,SN68860,05.02.2019,-9.6,5.2,0,-
Trondheim - Voll,SN68860,06.02.2019,-6.6,4.8,0,-
Trondheim - Voll,SN68860,07.02.2019,0.4,5,0.6,-
Trondheim - Voll,SN68860,08.02.2019,-0.6,3.7,0.1,-
Trondheim - Voll,SN68860,09.02.2019,0.9,4.3,1.1,-
Trondheim - Voll,SN68860,10.02.2019,0.1,3.3,3,-
Trondheim - Voll,SN68860,11.02.2019,-1.1,6.7,4.7,-
Trondheim - Voll,SN68860,12.02.2019,0.2,6,5.6,-
Trondheim - Voll,SN68860,13.02.2019,4.3,10.7,12.1,-
Trondheim - Voll,SN68860,14.02.2019,6.9,14,1.8,-
Trondheim - Voll,SN68860,15.02.2019,4.7,10.6,1.8,-
Trondheim - Voll,SN68860,16.02.2019,2.8,7.3,0.6,-
Trondheim - Voll,SN68860,17.02.2019,2.3,3.8,1.6,-
Trondheim - Voll,SN68860,18.02.2019,6.8,5.4,0.1,-
Trondheim - Voll,SN68860,19.02.2019,3.9,7.1,0.2,-
Trondheim - Voll,SN68860,20.02.2019,0.2,6,0.7,-
Trondheim - Voll,SN68860,21.02.2019,0.1,4.8,1.6,-
Trondheim - Voll,SN68860,22.02.2019,1.7,2.7,4.1,-
Trondheim - Voll,SN68860,23.02.2019,4.1,3.9,2,-
Trondheim - Voll,SN68860,24.02.2019,5.2,12.6,2.2,-
Trondheim - Voll,SN68860,25.02.2019,6,9.5,0.1,-
Trondheim - Voll,SN68860,26.02.2019,5.9,9.6,0.3,-
Trondheim - Voll,SN68860,27.02.2019,5.6,13.1,0.1,-
Trondheim - Voll,SN68860,28.02.2019,1.2,8,8.4,-
Trondheim - Voll,SN68860,01.03.2019,0.2,5.1,14.7,-
Trondheim - Voll,SN68860,02.03.2019,0.2,7.9,10.6,-
Trondheim - Voll,SN68860,03.03.2019,-0.7,4.8,9.9,-
Trondheim - Voll,SN68860,04.03.2019,-2.9,7,0.8,-
Trondheim - Voll,SN68860,05.03.2019,-7.5,6,0,-
Trondheim - Voll,SN68860,06.03.2019,-7.7,3.4,0.3,-
Trondheim - Voll,SN68860,07.03.2019,-3,5.8,0,-
Trondheim - Voll,SN68860,08.03.2019,-1.2,7.1,3.4,-
Trondheim - Voll,SN68860,09.03.2019,-2.6,4.9,1.1,-
Trondheim - Voll,SN68860,10.03.2019,-4,4.4,0.2,-
Trondheim - Voll,SN68860,11.03.2019,-3,3.5,0.7,-
Trondheim - Voll,SN68860,12.03.2019,-2.4,7.5,2.7,-
Trondheim - Voll,SN68860,13.03.2019,-1.3,6,0,-
Trondheim - Voll,SN68860,14.03.2019,-0.3,3.3,0.8,-
Trondheim - Voll,SN68860,15.03.2019,-0.6,4.2,0,-
Trondheim - Voll,SN68860,16.03.2019,-2.8,4.1,0,-
Trondheim - Voll,SN68860,17.03.2019,-0.2,8.4,0,-
Trondheim - Voll,SN68860,18.03.2019,0.7,7.3,0.4,-
Trondheim - Voll,SN68860,19.03.2019,3.1,4.4,1.7,-
Trondheim - Voll,SN68860,20.03.2019,3.2,9.1,4.2,-
Trondheim - Voll,SN68860,21.03.2019,4.1,9.6,6.9,-
Trondheim - Voll,SN68860,22.03.2019,5.7,10,0.4,-
Trondheim - Voll,SN68860,23.03.2019,2.3,12.1,5.3,-
Trondheim - Voll,SN68860,24.03.2019,0.4,13.5,10.5,-
Trondheim - Voll,SN68860,25.03.2019,0.5,8.5,22.6,-
Trondheim - Voll,SN68860,26.03.2019,1.3,9.6,3.3,-
Trondheim - Voll,SN68860,27.03.2019,5,5,3.8,-
Trondheim - Voll,SN68860,28.03.2019,9.1,10,1.2,-
Trondheim - Voll,SN68860,29.03.2019,3.9,10.7,1.4,-
Trondheim - Voll,SN68860,30.03.2019,1.2,6.9,14.1,-
Trondheim - Voll,SN68860,31.03.2019,-0.6,6,8.8,-
Trondheim - Voll,SN68860,01.04.2019,2.2,5.8,3.9,-
Trondheim - Voll,SN68860,02.04.2019,3.1,5,0,-
Trondheim - Voll,SN68860,03.04.2019,5.9,4.2,0,-
Trondheim - Voll,SN68860,04.04.2019,4.5,5,0,-
Trondheim - Voll,SN68860,05.04.2019,5.8,5.5,0,-
Trondheim - Voll,SN68860,06.04.2019,3.6,3.8,0,-
Trondheim - Voll,SN68860,07.04.2019,3.2,4.8,0,-
Trondheim - Voll,SN68860,08.04.2019,1.6,4,0,-
Trondheim - Voll,SN68860,09.04.2019,0.4,5.9,0,-
Trondheim - Voll,SN68860,10.04.2019,-1.3,5.1,0,-
Trondheim - Voll,SN68860,11.04.2019,-0.2,3.3,0,-
Trondheim - Voll,SN68860,12.04.2019,1.4,3.8,0,-
Trondheim - Voll,SN68860,13.04.2019,2.1,2.7,0,-
Trondheim - Voll,SN68860,14.04.2019,3.2,2.6,0,-
Trondheim - Voll,SN68860,15.04.2019,4.4,2.8,0,-
Trondheim - Voll,SN68860,16.04.2019,8.3,4,0,-
Trondheim - Voll,SN68860,17.04.2019,9.9,5.3,0,-
Trondheim - Voll,SN68860,18.04.2019,8.8,3.3,0,-
Trondheim - Voll,SN68860,19.04.2019,11.4,3.3,0,-
Trondheim - Voll,SN68860,20.04.2019,10.3,3.2,0,-
Trondheim - Voll,SN68860,21.04.2019,7.7,3.3,0,-
Trondheim - Voll,SN68860,22.04.2019,11.8,4.5,0.8,-
Trondheim - Voll,SN68860,23.04.2019,12.9,5.1,0.3,-
Trondheim - Voll,SN68860,24.04.2019,14.4,6.3,0.1,-
Trondheim - Voll,SN68860,25.04.2019,14.9,5.6,0,-
Trondheim - Voll,SN68860,26.04.2019,14.5,6.5,0,-
Trondheim - Voll,SN68860,27.04.2019,15.2,4.2,0.1,-
Trondheim - Voll,SN68860,28.04.2019,15.9,3.9,0,-
Trondheim - Voll,SN68860,29.04.2019,12.8,4.9,0,-
Trondheim - Voll,SN68860,30.04.2019,9.5,4,1.8,-
Trondheim - Voll,SN68860,01.05.2019,4.9,4.8,4.4,-
Trondheim - Voll,SN68860,02.05.2019,2.7,6.4,6.3,-
Trondheim - Voll,SN68860,03.05.2019,1.8,5.6,1.6,-
Trondheim - Voll,SN68860,04.05.2019,2.2,7.2,1.6,-
Trondheim - Voll,SN68860,05.05.2019,1.6,6.6,8.4,-
Trondheim - Voll,SN68860,06.05.2019,2.4,4.5,7.5,-
Trondheim - Voll,SN68860,07.05.2019,2.8,5.8,0,-
Trondheim - Voll,SN68860,08.05.2019,3.6,5.2,0.9,-
Trondheim - Voll,SN68860,09.05.2019,6.3,4.4,0.1,-
Trondheim - Voll,SN68860,10.05.2019,9,6.6,0,-
Trondheim - Voll,SN68860,11.05.2019,4.6,5.3,8.3,-
Trondheim - Voll,SN68860,12.05.2019,4.4,6.5,3.4,-
Trondheim - Voll,SN68860,13.05.2019,4.4,7.1,2.6,-
Trondheim - Voll,SN68860,14.05.2019,7,3.9,1.4,-
Trondheim - Voll,SN68860,15.05.2019,9.9,3.7,0.8,-
Trondheim - Voll,SN68860,16.05.2019,11.2,2.6,0,-
Trondheim - Voll,SN68860,17.05.2019,14.5,3.9,0,-
Trondheim - Voll,SN68860,18.05.2019,17.1,6,0,-
Trondheim - Voll,SN68860,19.05.2019,14.8,4.7,0,-
